IPAddress,Duration (in seconds),Finished,RecordedDate,ResponseId,consent,ID,browser_info_Resolution,timer_pitch_deck_First Click,timer_pitch_deck_Last Click,timer_pitch_deck_Page Submit,timer_pitch_deck_Click Count,invest_prob_1,fluency_1,quality,cvpa_v_1,cvpa_v_2,cvpa_v_3,cvpa_v_4,cvpa_a_1,cvpa_a_2,cvpa_a_3,cvpa_a_4,cvpa_r_1,cvpa_r_2,cvpa_r_3,age,gender,invest_experience,attention_check,attention_check_99_TEXT,comprehension_check,PROLIFIC_PID,fluency_condition,quality_condition,device
306,317,TRUE,2022-12-21T17:41:59Z,R_2DRCFdEtz316yu6,yes,305,1536x864,6.723,6.723,18.87,1,16,76,7,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,57,Male,0,Other,I have read this text carefully,Medical innovation,305,low,low,NA
307,141,TRUE,2022-12-21T17:42:32Z,R_3fwb64wikWZ0gcZ,yes,306,2560x1440,1.99,5.903,61.635,2,37,71,5,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,32,Male,3,Other,I have read this text carefully,Medical innovation,306,low,low,NA
308,104,FALSE,2022-12-21T17:42:50Z,R_6XzfXz9NjZ7ltM5,yes,307,1920x1080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,high,high,NA
309,206,TRUE,2022-12-21T17:44:56Z,R_2YLhEkg6WuTdR4U,yes,308,1280x768,11.187,41.49,43.76,3,9,56,4,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,56,Female,2,Other,I have read this text carefully,Medical innovation,308,low,high,NA
310,312,TRUE,2022-12-21T17:45:08Z,R_3Mus3E5C2Sd5RfM,yes,309,1536x864,2.236,2.236,16.969,1,75,39,6,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,37,Male,8,Other,I have read this text carefully,Medical innovation,309,high,low,NA
311,346,TRUE,2022-12-21T17:45:14Z,R_urfmM58hvV5uE5H,yes,310,1366x768,15.218,15.218,195.568,1,100,100,7,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,56,Female,16,Other,NA,Medical innovation,310,low,high,NA
312,373,TRUE,2022-12-21T17:45:38Z,R_ALNYyIKuHcJKjPX,yes,311,1920x1080,16.48,16.48,72.26,1,100,100,7,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,39,Male,2,Other,I have read this text carefully,Medical innovation,311,high,high,NA
313,253,TRUE,2022-12-21T17:45:52Z,R_pop6EC8chL8W5Tb,yes,312,1280x720,10.198,10.198,121.675,1,40,42,4,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,52,Male,14,Other,I have read this text carefully,Medical innovation,312,low,high,NA
314,417,TRUE,2022-12-21T17:45:59Z,R_3s6XfcVkNjXnAix,yes,313,1536x864,15.584,15.584,206.768,1,65,63,5,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly agree,35,Male,6,Other,I have read this text carefully,Medical innovation,313,high,low,NA
315,15,FALSE,2022-12-21T17:49:26Z,R_Z9MWvSOkrx9tBQd,yes,314,360x800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,low,low,mobile
316,236,FALSE,2022-12-21T17:53:39Z,R_1GWjdfei7GjRApS,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,high,low,NA
317,37,FALSE,2022-12-21T17:56:53Z,R_D0PLh8JIEEEkz8B,yes,316,1536x864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,low,low,NA
318,8,FALSE,2022-12-21T17:56:53Z,R_r0xdyS45slUQSZz,yes,317,428x926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317,high,high,mobile
319,86,FALSE,2022-12-21T18:11:19Z,R_TcSXowdWepd40il,yes,318,1920x1080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318,high,high,NA
